"Date","Price","Open","High","Low","Change %"
"09/07/2022","0.685","0.744","0.766","0.661","-6.93%"
"09/06/2022","0.736","0.748","0.762","0.633","6.36%"
"09/05/2022","0.692","0.640","0.715","0.621","7.79%"
"09/02/2022","0.642","0.675","0.730","0.610","-5.59%"
"09/01/2022","0.680","0.736","0.763","0.680","-2.02%"
"08/31/2022","0.694","0.675","0.720","0.643","1.17%"
"08/30/2022","0.686","0.706","0.729","0.627","-7.80%"
"08/29/2022","0.744","0.790","0.818","0.711","6.44%"
"08/26/2022","0.699","0.642","0.699","0.595","13.84%"
"08/25/2022","0.614","0.698","0.698","0.581","-5.97%"
"08/24/2022","0.653","0.636","0.671","0.612","8.47%"
"08/23/2022","0.602","0.602","0.670","0.573","4.51%"
"08/22/2022","0.576","0.479","0.596","0.458","15.66%"
"08/19/2022","0.498","0.453","0.509","0.442","32.45%"
"08/18/2022","0.376","0.381","0.418","0.364","2.45%"
"08/17/2022","0.367","0.262","0.380","0.262","35.42%"
"08/16/2022","0.271","0.204","0.271","0.198","38.27%"
"08/15/2022","0.196","0.257","0.293","0.194","-31.23%"
"08/12/2022","0.285","0.280","0.293","0.243","-0.70%"
"08/11/2022","0.287","0.237","0.287","0.178","35.38%"
"08/10/2022","0.212","0.278","0.278","0.174","-19.70%"
"08/09/2022","0.264","0.266","0.289","0.240","11.39%"
"08/08/2022","0.237","0.277","0.283","0.230","-24.28%"
"08/05/2022","0.313","0.173","0.313","0.165","89.70%"
"08/04/2022","0.165","0.212","0.212","0.154","-21.05%"
"08/03/2022","0.209","0.177","0.217","0.142","46.15%"
"08/02/2022","0.143","0.079","0.173","0.023","15.32%"
"07/29/2022","0.124","0.107","0.177","0.096","56.96%"
"07/28/2022","0.079","0.294","0.301","0.079","-60.89%"
"07/27/2022","0.202","0.228","0.243","0.194","-7.76%"
"07/26/2022","0.219","0.303","0.320","0.200","-23.96%"
"07/25/2022","0.288","0.373","0.373","0.282","-8.86%"
"07/22/2022","0.316","0.523","0.523","0.293","-36.55%"
"07/21/2022","0.498","0.503","0.624","0.492","-2.54%"
"07/20/2022","0.511","0.553","0.553","0.451","-4.66%"
"07/19/2022","0.536","0.452","0.580","0.412","19.64%"
"07/18/2022","0.448","0.417","0.472","0.393","14.29%"
"07/15/2022","0.392","0.347","0.404","0.281","-0.51%"
"07/14/2022","0.394","0.354","0.441","0.313","23.51%"
"07/13/2022","0.319","0.278","0.355","0.269","26.09%"
"07/12/2022","0.253","0.356","0.364","0.242","-28.93%"
"07/11/2022","0.356","0.507","0.507","0.343","-29.92%"
"07/08/2022","0.508","0.437","0.508","0.401","6.05%"
"07/07/2022","0.479","0.295","0.479","0.295","60.74%"
"07/06/2022","0.298","0.306","0.324","0.240","-0.33%"
"07/05/2022","0.299","0.404","0.406","0.299","-29.81%"
"07/04/2022","0.426","0.481","0.485","0.380","2.65%"
"07/01/2022","0.415","0.582","0.582","0.291","-19.88%"
"06/30/2022","0.518","0.770","0.778","0.518","-27.96%"
"06/29/2022","0.719","0.786","0.874","0.719","-17.26%"
"06/28/2022","0.869","0.848","0.970","0.848","2.48%"
"06/27/2022","0.848","0.846","0.911","0.775","2.91%"
"06/24/2022","0.824","0.757","0.824","0.681","7.01%"
"06/23/2022","0.770","0.961","0.967","0.720","-18.95%"
"06/22/2022","0.950","1.009","1.009","0.940","-8.92%"
"06/21/2022","1.043","1.057","1.074","1.033","-1.79%"
"06/20/2022","1.062","1.021","1.066","0.946","7.71%"
"06/17/2022","0.986","1.041","1.072","0.942","-9.46%"
"06/16/2022","1.089","0.866","1.108","0.847","23.61%"
"06/15/2022","0.881","1.054","1.090","0.854","-14.96%"
"06/14/2022","1.036","0.745","1.036","0.743","11.28%"
"06/13/2022","0.931","0.745","0.941","0.743","24.80%"
"06/10/2022","0.746","0.650","0.748","0.633","15.84%"
"06/09/2022","0.644","0.608","0.672","0.550","10.27%"
"06/08/2022","0.584","0.577","0.620","0.573","5.80%"
"06/07/2022","0.552","0.600","0.600","0.546","-4.17%"
"06/03/2022","0.576","0.525","0.581","0.524","8.27%"
"06/02/2022","0.532","0.458","0.532","0.458","16.67%"
"06/01/2022","0.456","0.423","0.456","0.414","7.04%"
